persoonsgebonden_nummer;inschrijvingsjaar;opleidingsvorm;eerste_jaar_aan_deze_opleiding_instelling;opleidingscode_naam_opleiding;opleiding;instellingscode;geslacht;hoogste_vooropleiding_omschrijving_vooropleiding;diploma_behaald
235988;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
258706;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;False
269002;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
287439;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;Buitenlands diploma;False
303881;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
306680;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;Buitenlands diploma;True
326613;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
345827;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;False
346922;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
352393;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
371131;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;Buitenlands diploma;True
380546;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
388681;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
388969;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
406545;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
414049;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
423377;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
424272;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
426711;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
427050;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
431689;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
441753;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;Buitenlands diploma;False
448604;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
453365;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;False
482040;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
484388;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;False
502204;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
518662;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
542451;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
543444;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
555744;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
564892;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
583931;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
616919;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
627846;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;Buitenlands diploma;False
642975;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;Buitenlands diploma;True
650688;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
652749;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
654107;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;False
656592;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
659909;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
660355;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
668602;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
702869;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;Buitenlands diploma;True
710871;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
717961;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
728141;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;Buitenlands diploma;False
735583;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
749750;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
768287;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
786141;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
789386;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;Buitenlands diploma;True
801284;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
801394;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
815497;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;False
830808;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
834205;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
846114;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
868911;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;False
872965;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;Buitenlands diploma;False
875677;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
881321;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
888683;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;False
895765;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
914730;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
942832;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;True
946255;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;vrouw;WO Bachelor;False
947054;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;False
983296;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;True
987552;2026;voltijd;2026;Farmacie;Farmacie;Universiteit Leiden;man;WO Bachelor;False
