persoonsgebonden_nummer;inschrijvingsjaar;opleidingsvorm;eerste_jaar_aan_deze_opleiding_instelling;opleidingscode_naam_opleiding;opleiding;instellingscode;geslacht;hoogste_vooropleiding_omschrijving_vooropleiding
3026464;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3026464;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3037426;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3054095;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;HAVO + propedeuse
3054095;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;HAVO + propedeuse
3056228;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3085615;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3087458;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3090728;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;Anders
3090728;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;Anders
3121540;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3126811;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3126811;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3146803;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3150216;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3150216;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3161434;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3171860;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;anders;HAVO + propedeuse
3191443;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3191443;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3199239;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3200191;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3200191;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3203736;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3209318;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3213696;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;Anders
3213696;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;Anders
3245268;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3250191;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3253064;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;Anders
3253064;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;Anders
3256519;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3258655;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3258655;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3302278;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;VWO
3304474;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3309523;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;HAVO + propedeuse
3309523;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;vrouw;HAVO + propedeuse
3344192;2026;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
3344192;2027;voltijd;2026;Psychologie;Psychologie;Radboud Universiteit;man;VWO
