studentnummer;selectiejaar;opleiding;instellingscode;groep;geslacht;herkomst;hoogste_vooropleiding;gem_eindcijfer_vo
133535;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;man;Nederland;Biologie;7.9
157430;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;overig niet-westers;Geneeskunde bachelor;7.9
180315;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;man;overig niet-westers;Scheikunde;6.8
182914;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Biomedische wetenschappen bachelor;7.2
225774;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Scheikunde;7.2
264276;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Biologie;6.7
270514;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;westerse achtergrond;Biologie;7.2
275161;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Geneeskunde bachelor;7.2
279913;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;man;Nederland;Biologie;7.8
315596;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;man;Nederland;Anders;7.8
349406;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Biomedische wetenschappen bachelor;7.0
359488;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Nederland;Biologie;7.1
381119;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Nederland;Biologie;7.5
427490;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;vrouw;Suriname/Antillen;Geneeskunde bachelor;6.9
433681;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Marokko;Scheikunde;7.5
462135;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;man;Nederland;Biomedische wetenschappen bachelor;7.2
489663;2026;Biomedische Wetenschappen;AUMC;Doorgestroomd naar jaar 2;anders;westerse achtergrond;Geneeskunde bachelor;6.7
499032;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Nederland;Biomedische wetenschappen bachelor;6.7
505301;2026;Biomedische Wetenschappen;AUMC;Gestart, niet naar jaar 2;vrouw;Nederland;Biomedische wetenschappen bachelor;7.9
