studentnummer;selectiejaar;opleiding;instellingscode;groep;geslacht;herkomst;hoogste_vooropleiding;gem_eindcijfer_vo;instroom_type
10001;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10002;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10003;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10004;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10005;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10006;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10007;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10008;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;8.2;direct
10009;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10010;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10011;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.0;direct
10012;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10013;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10014;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.7;direct
10015;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10016;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.3;direct
10017;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10018;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10019;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10020;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10021;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.8;tussenjaar
10022;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10023;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10024;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10025;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10026;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10027;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel cultuur & maatschappij;6.9;tussenjaar
10028;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10029;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10030;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10031;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;westerse achtergrond;vwo profiel natuur & gezondheid;6.7;direct
10032;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10033;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10034;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10035;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10036;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10037;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10038;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10039;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10040;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10041;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;8.3;tussenjaar
10042;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10043;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10044;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10045;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;overig niet-westers;vwo profiel natuur & gezondheid;7.2;direct
10046;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10047;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;6.9;tussenjaar
10048;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10049;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10050;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10051;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10052;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.9;direct
10053;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
