persoonsgebonden_nummer;inschrijvingsjaar;instellingscode;actuele_instelling;opleidingscode;opleidingsvorm;opleidingsfase;maand_vanaf;code_beeindiging;eerste_jaar_aan_deze_instelling;eerste_jaar_in_het_hoger_onderwijs;eerste_jaar_aan_deze_opleiding_instelling;verblijfsjaar_hoger_onderwijs;geslacht;leeftijd_per_peildatum_1_oktober;hoogste_vooropleiding;diplomajaar_van_de_hoogste_vooropl_voor_het_ho;herkomst_indikking_volgens_cbs_definitie;gem_eindcijfer_vo_van_de_hoogste_vooropl_voor_het_ho;indicatie_actief_op_peildatum;soort_inschrijving_continu_type_ho_binnen_ho;indicatie_eerstejaars_continu_type_ho_binnen_ho;datum_inschrijving;datum_uitschrijving
10007;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;22;411;2019;2;8.6;1;1;1;20210901;0
10007;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;23;411;2020;2;8.6;1;2;2;20220901;0
10008;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2020;1;5.8;1;1;1;20210901;0
10008;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;405;2021;1;5.8;1;2;2;20220901;0
10009;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;22;404;2020;1;6.7;1;1;1;20210901;0
10009;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;23;404;2019;1;6.7;1;2;2;20220901;0
10011;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2021;2;7.3;1;1;1;20210901;0
10011;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;405;2020;2;7.3;1;2;2;20220901;0
10015;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;403;2020;1;6.2;1;1;1;20210901;0
10015;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;403;2020;1;6.2;1;2;2;20220901;0
10018;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;18;404;2021;1;7.4;1;1;1;20210901;0
10018;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;19;404;2021;1;7.4;1;2;2;20220901;0
10025;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;404;2021;2;6.5;1;1;1;20210901;0
10025;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;404;2021;2;6.5;1;2;2;20220901;0
10029;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;404;2019;3;7.2;1;1;1;20210901;0
10029;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;404;2019;3;7.2;1;2;2;20220901;0
10038;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;20;405;2020;1;7.3;1;1;1;20210901;0
10038;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;21;405;2021;1;7.3;1;2;2;20220901;0
10040;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;21;405;2019;1;7.6;1;1;1;20210901;20210831
10043;2021;DEMO;DEMO;99001;1;B;9;0;2021;2018;2021;1;M;22;502;2020;1;6.1;1;1;1;20210901;20210831
10044;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;22;403;2019;1;6.2;1;1;1;20210901;0
10044;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;23;403;2020;1;6.2;1;2;2;20220901;0
10047;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;17;405;2021;1;7.7;1;1;1;20210901;20210831
10051;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;19;405;2019;1;7.4;1;1;1;20210901;0
10051;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;20;405;2020;1;7.4;1;2;2;20220901;0
10055;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;17;411;2019;7;5.9;1;1;1;20210901;0
10055;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;18;411;2021;7;5.9;1;2;2;20220901;0
10062;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;18;405;2021;5;7.8;1;1;1;20210901;0
10062;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;19;405;2019;5;7.8;1;2;2;20220901;0
10064;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;22;411;2019;1;7.8;1;1;1;20210901;20210831
10065;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;18;402;2021;1;6.3;1;1;1;20210901;20210831
10068;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;403;2020;1;6.8;1;1;1;20210901;0
10068;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;403;2019;1;6.8;1;2;2;20220901;0
10073;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;404;2020;1;6.3;1;1;1;20210901;0
10073;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;21;404;2019;1;6.3;1;2;2;20220901;0
10077;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;20;404;2020;1;7.5;1;1;1;20210901;20210831
10079;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;18;405;2021;1;8.4;1;1;1;20210901;0
10079;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;19;405;2021;1;8.4;1;2;2;20220901;0
10081;2021;DEMO;DEMO;99001;1;B;9;0;2021;2020;2021;1;M;22;502;2019;3;7.7;1;1;1;20210901;0
10081;2022;DEMO;DEMO;99001;1;B;9;0;2021;2018;2021;2;M;23;502;2020;3;7.7;1;2;2;20220901;0
10088;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;20;411;2021;1;7.1;1;1;1;20210901;0
10088;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;M;21;411;2019;1;7.1;1;2;2;20220901;0
10089;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;411;2021;1;5.9;1;1;1;20210901;0
10089;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;20;411;2019;1;5.9;1;2;2;20220901;0
10090;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;403;2021;2;6.3;1;1;1;20210901;20210831
10094;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;21;405;2019;7;7.2;1;1;1;20210901;0
10094;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;22;405;2021;7;7.2;1;2;2;20220901;0
10101;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;20;405;2021;1;6.8;1;1;1;20210901;20210831
10105;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;17;411;2021;1;7.6;1;1;1;20210901;20210831
10106;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;18;404;2021;1;7.0;1;1;1;20210901;0
10106;2022;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;2;V;19;404;2020;1;7.0;1;2;2;20220901;0
10110;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;V;19;403;2019;5;7.4;1;1;1;20210901;20210831
10115;2021;DEMO;DEMO;99001;1;B;9;0;2021;2021;2021;1;M;19;405;2021;7;4.9;1;1;1;20210901;20210831
