kandidaat_id;persoonsgebonden_nummer;selectiejaar;opleiding;instellingscode;motivatiescore;cv_score;interview_score;totaalscore;rangorde;selectie_uitkomst;groep;geslacht;herkomst;hoogste_vooropleiding;gem_eindcijfer_vo;instroom_type
10001;;2021;B Gezondheidswetenschappen;DEMO;4.9;4.45;4.63;4.68;189;niet geselecteerd;Niet gestart;;;;;
10002;;2021;B Gezondheidswetenschappen;DEMO;5.15;5.15;4.48;4.82;172;niet geselecteerd;Niet gestart;;;;;
10003;;2021;B Gezondheidswetenschappen;DEMO;1.5;1.8;1.0;1.31;342;niet geselecteerd;Niet gestart;;;;;
10004;;2021;B Gezondheidswetenschappen;DEMO;4.25;5.25;4.42;4.54;204;niet geselecteerd;Niet gestart;;;;;
10005;;2021;B Gezondheidswetenschappen;DEMO;4.95;4.75;3.15;4.01;257;niet geselecteerd;Niet gestart;;;;;
10006;;2021;B Gezondheidswetenschappen;DEMO;5.1;6.7;4.45;5.1;139;niet geselecteerd;Niet gestart;;;;;
10007;;2021;B Gezondheidswetenschappen;DEMO;5.65;5.15;4.93;5.19;133;niet geselecteerd;Niet gestart;;;;;
10008;10008.0;2021;B Gezondheidswetenschappen;DEMO;5.8;5.0;6.17;5.82;75;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;8.2;direct
10009;;2021;B Gezondheidswetenschappen;DEMO;2.05;3.2;2.83;2.67;331;niet geselecteerd;Niet gestart;;;;;
10010;;2021;B Gezondheidswetenschappen;DEMO;5.45;3.5;4.68;4.68;190;niet geselecteerd;Niet gestart;;;;;
10011;10011.0;2021;B Gezondheidswetenschappen;DEMO;6.75;6.85;6.23;6.51;29;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.0;direct
10012;;2021;B Gezondheidswetenschappen;DEMO;3.65;4.45;3.78;3.88;272;niet geselecteerd;Niet gestart;;;;;
10013;10013.0;2021;B Gezondheidswetenschappen;DEMO;5.65;5.0;5.32;5.36;114;reserve;Niet gestart;;;;;
10014;10014.0;2021;B Gezondheidswetenschappen;DEMO;8.4;7.4;7.5;7.75;6;geselecteerd;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.7;direct
10015;10015.0;2021;B Gezondheidswetenschappen;DEMO;6.5;5.2;4.9;5.44;106;reserve;Niet gestart;;;;;
10016;10016.0;2021;B Gezondheidswetenschappen;DEMO;4.8;6.8;5.68;5.64;86;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.3;direct
10017;;2021;B Gezondheidswetenschappen;DEMO;4.45;4.05;4.38;4.34;223;niet geselecteerd;Niet gestart;;;;;
10018;;2021;B Gezondheidswetenschappen;DEMO;4.3;4.75;3.25;3.86;275;niet geselecteerd;Niet gestart;;;;;
10019;;2021;B Gezondheidswetenschappen;DEMO;3.95;4.5;4.35;4.26;232;niet geselecteerd;Niet gestart;;;;;
10020;10020.0;2021;B Gezondheidswetenschappen;DEMO;5.45;6.0;5.35;5.51;101;reserve;Niet gestart;;;;;
10021;10021.0;2021;B Gezondheidswetenschappen;DEMO;6.15;7.65;7.52;7.14;10;geselecteerd;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.8;tussenjaar
10022;;2021;B Gezondheidswetenschappen;DEMO;4.6;5.4;2.98;3.95;264;niet geselecteerd;Niet gestart;;;;;
10023;;2021;B Gezondheidswetenschappen;DEMO;3.7;4.85;3.77;3.96;262;niet geselecteerd;Niet gestart;;;;;
10024;;2021;B Gezondheidswetenschappen;DEMO;4.05;3.4;4.45;4.12;243;niet geselecteerd;Niet gestart;;;;;
10025;;2021;B Gezondheidswetenschappen;DEMO;3.3;3.7;3.28;3.37;308;niet geselecteerd;Niet gestart;;;;;
10026;;2021;B Gezondheidswetenschappen;DEMO;4.9;4.7;4.7;4.76;179;niet geselecteerd;Niet gestart;;;;;
10027;10027.0;2021;B Gezondheidswetenschappen;DEMO;4.75;5.7;6.25;5.69;82;geselecteerd;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel cultuur & maatschappij;6.9;tussenjaar
10028;;2021;B Gezondheidswetenschappen;DEMO;3.95;4.0;5.75;4.86;170;niet geselecteerd;Niet gestart;;;;;
