studentnummer;persoonsgebonden_nummer;selectiejaar;opleiding;instellingscode;geslacht;leeftijd;herkomst;hoogste_vooropleiding;gem_eindcijfer_vo;motivatiescore;cv_score;interview_score;totaalscore;rangorde;selectie_uitkomst
10001;;2021;B Gezondheidswetenschappen;DEMO;man;18;Nederland;vwo profiel natuur & gezondheid;7.3;4.9;4.45;4.63;4.68;189;niet geselecteerd
10002;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;6.8;5.15;5.15;4.48;4.82;172;niet geselecteerd
10003;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & techniek;6.9;1.5;1.8;1.0;1.31;342;niet geselecteerd
10004;;2021;B Gezondheidswetenschappen;DEMO;man;19;Suriname/Antillen;vwo profiel cultuur & maatschappij;7.3;4.25;5.25;4.42;4.54;204;niet geselecteerd
10005;;2021;B Gezondheidswetenschappen;DEMO;anders;18;westerse achtergrond;vwo profiel natuur & techniek;7.1;4.95;4.75;3.15;4.01;257;niet geselecteerd
10006;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;westerse achtergrond;vwo profiel natuur & gezondheid;7.7;5.1;6.7;4.45;5.1;139;niet geselecteerd
10007;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;westerse achtergrond;vwo profiel natuur & gezondheid;7.0;5.65;5.15;4.93;5.19;133;niet geselecteerd
10008;10008.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;8.2;5.8;5.0;6.17;5.82;75;geselecteerd
10009;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Turkije;vwo profiel natuur & gezondheid;6.9;2.05;3.2;2.83;2.67;331;niet geselecteerd
10010;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & techniek;6.7;5.45;3.5;4.68;4.68;190;niet geselecteerd
10011;10011.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;7.0;6.75;6.85;6.23;6.51;29;geselecteerd
10012;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;overig niet-westers;vwo profiel cultuur & maatschappij;7.2;3.65;4.45;3.78;3.88;272;niet geselecteerd
10013;10013.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Suriname/Antillen;vwo profiel cultuur & maatschappij;6.5;5.65;5.0;5.32;5.36;114;reserve
10014;10014.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.7;8.4;7.4;7.5;7.75;6;geselecteerd
10015;10015.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;overig niet-westers;vwo profiel natuur & gezondheid;7.0;6.5;5.2;4.9;5.44;106;reserve
10016;10016.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;7.3;4.8;6.8;5.68;5.64;86;geselecteerd
10017;;2021;B Gezondheidswetenschappen;DEMO;anders;17;Nederland;vwo profiel natuur & gezondheid;6.9;4.45;4.05;4.38;4.34;223;niet geselecteerd
10018;;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel natuur & gezondheid;8.1;4.3;4.75;3.25;3.86;275;niet geselecteerd
10019;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;6.2;3.95;4.5;4.35;4.26;232;niet geselecteerd
10020;10020.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;22;Nederland;vwo profiel natuur & gezondheid;6.6;5.45;6.0;5.35;5.51;101;reserve
10021;10021.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;7.8;6.15;7.65;7.52;7.14;10;geselecteerd
10022;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel cultuur & maatschappij;6.9;4.6;5.4;2.98;3.95;264;niet geselecteerd
10023;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.6;3.7;4.85;3.77;3.96;262;niet geselecteerd
10024;;2021;B Gezondheidswetenschappen;DEMO;man;19;overig niet-westers;vwo profiel economie & maatschappij;7.6;4.05;3.4;4.45;4.12;243;niet geselecteerd
10025;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;7.4;3.3;3.7;3.28;3.37;308;niet geselecteerd
10026;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Suriname/Antillen;vwo profiel cultuur & maatschappij;6.4;4.9;4.7;4.7;4.76;179;niet geselecteerd
10027;10027.0;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel cultuur & maatschappij;6.9;4.75;5.7;6.25;5.69;82;geselecteerd
10028;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;6.1;3.95;4.0;5.75;4.86;170;niet geselecteerd
10029;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;hbo-propedeuse;6.2;3.5;4.8;3.87;3.94;265;niet geselecteerd
10030;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Suriname/Antillen;vwo profiel natuur & gezondheid;6.8;2.7;3.45;2.55;2.78;329;niet geselecteerd
10031;10031.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;westerse achtergrond;vwo profiel natuur & gezondheid;6.7;6.65;4.95;5.57;5.77;78;geselecteerd
10032;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;overig niet-westers;vwo profiel natuur & techniek;6.6;4.6;4.15;4.0;4.21;234;niet geselecteerd
10033;;2021;B Gezondheidswetenschappen;DEMO;man;18;Nederland;hbo-propedeuse;6.4;5.6;5.2;4.98;5.21;129;niet geselecteerd
10034;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;7.4;4.3;4.15;3.82;4.03;253;niet geselecteerd
10035;;2021;B Gezondheidswetenschappen;DEMO;man;19;Suriname/Antillen;vwo profiel cultuur & maatschappij;5.2;3.55;4.05;3.93;3.84;279;niet geselecteerd
10036;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Suriname/Antillen;vwo profiel natuur & techniek;7.8;3.95;4.65;4.32;4.28;229;niet geselecteerd
10037;;2021;B Gezondheidswetenschappen;DEMO;vrouw;22;Nederland;vwo profiel natuur & gezondheid;7.0;4.85;5.75;3.98;4.6;201;niet geselecteerd
10038;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel cultuur & maatschappij;6.8;3.15;2.8;2.93;2.97;322;niet geselecteerd
10039;;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;hbo-propedeuse;6.8;3.0;2.45;3.28;3.03;321;niet geselecteerd
10040;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;8.3;4.4;4.4;5.53;4.96;158;niet geselecteerd
10041;10041.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel cultuur & maatschappij;8.3;6.6;6.0;6.07;6.22;45;geselecteerd
10042;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & techniek;6.7;5.6;5.05;4.9;5.14;137;niet geselecteerd
10043;;2021;B Gezondheidswetenschappen;DEMO;man;22;Suriname/Antillen;vwo profiel natuur & gezondheid;7.8;4.1;3.45;3.63;3.74;287;niet geselecteerd
10044;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;7.4;4.05;5.05;4.32;4.38;221;niet geselecteerd
10045;10045.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;overig niet-westers;vwo profiel natuur & gezondheid;7.2;5.15;7.7;5.93;6.05;51;geselecteerd
10046;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & techniek;6.6;4.2;4.1;4.77;4.46;214;niet geselecteerd
10047;10047.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & techniek;6.9;5.5;5.85;6.82;6.23;44;geselecteerd
10048;;2021;B Gezondheidswetenschappen;DEMO;man;18;Marokko;vwo profiel natuur & gezondheid;7.5;4.9;4.75;5.08;4.96;159;niet geselecteerd
10049;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & techniek;7.2;4.45;4.65;4.72;4.62;197;niet geselecteerd
10050;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel cultuur & maatschappij;8.4;3.15;3.8;3.4;3.4;306;niet geselecteerd
10051;;2021;B Gezondheidswetenschappen;DEMO;man;17;Suriname/Antillen;vwo profiel natuur & gezondheid;6.7;4.25;4.55;5.93;5.15;135;niet geselecteerd
10052;10052.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel cultuur & maatschappij;6.9;6.25;5.05;6.9;6.34;40;geselecteerd
10053;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;7.3;4.75;4.6;4.75;4.72;186;niet geselecteerd
10054;10054.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.9;6.0;5.2;5.58;5.63;90;geselecteerd
10055;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.3;3.15;4.25;4.22;3.9;271;niet geselecteerd
10056;10056.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;7.6;5.7;4.95;5.52;5.46;105;reserve
10057;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;6.7;5.0;5.4;5.38;5.27;123;niet geselecteerd
10058;10058.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel cultuur & maatschappij;7.2;6.75;5.75;6.42;6.38;37;geselecteerd
10059;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.0;4.55;5.95;4.42;4.77;178;niet geselecteerd
10060;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel economie & maatschappij;7.1;3.1;3.1;2.7;2.9;324;niet geselecteerd
10061;10061.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Turkije;vwo profiel cultuur & maatschappij;8.1;6.7;5.9;5.65;6.02;53;geselecteerd
10062;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;7.4;3.8;4.25;4.82;4.4;218;niet geselecteerd
10063;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;6.5;3.8;3.65;4.1;3.92;267;niet geselecteerd
10064;10064.0;2021;B Gezondheidswetenschappen;DEMO;man;17;Nederland;hbo-propedeuse;6.2;6.9;5.95;6.05;6.28;41;geselecteerd
10065;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;westerse achtergrond;vwo profiel natuur & techniek;7.1;4.35;4.45;4.57;4.48;210;niet geselecteerd
