kandidaat_id;selectiejaar;instrument;item;criterium;score
10001;2021;interview;vraag_1;inhoud;5.8
10002;2021;interview;vraag_1;inhoud;4.2
10003;2021;interview;vraag_1;inhoud;1.0
10004;2021;interview;vraag_1;inhoud;4.8
10005;2021;interview;vraag_1;inhoud;3.3
10006;2021;interview;vraag_1;inhoud;3.6
10007;2021;interview;vraag_1;inhoud;4.1
10008;2021;interview;vraag_1;inhoud;5.7
10009;2021;interview;vraag_1;inhoud;3.1
10010;2021;interview;vraag_1;inhoud;5.4
10011;2021;interview;vraag_1;inhoud;7.0
10012;2021;interview;vraag_1;inhoud;4.3
10013;2021;interview;vraag_1;inhoud;4.6
10014;2021;interview;vraag_1;inhoud;7.3
10015;2021;interview;vraag_1;inhoud;5.0
10016;2021;interview;vraag_1;inhoud;5.0
10017;2021;interview;vraag_1;inhoud;3.0
10018;2021;interview;vraag_1;inhoud;2.8
10019;2021;interview;vraag_1;inhoud;4.5
10020;2021;interview;vraag_1;inhoud;5.1
10021;2021;interview;vraag_1;inhoud;8.3
10022;2021;interview;vraag_1;inhoud;2.9
10023;2021;interview;vraag_1;inhoud;3.9
10024;2021;interview;vraag_1;inhoud;4.6
10025;2021;interview;vraag_1;inhoud;4.1
10026;2021;interview;vraag_1;inhoud;4.5
10027;2021;interview;vraag_1;inhoud;7.7
10028;2021;interview;vraag_1;inhoud;5.5
10029;2021;interview;vraag_1;inhoud;3.4
10030;2021;interview;vraag_1;inhoud;2.3
10031;2021;interview;vraag_1;inhoud;4.9
10032;2021;interview;vraag_1;inhoud;3.8
10033;2021;interview;vraag_1;inhoud;4.5
10034;2021;interview;vraag_1;inhoud;5.5
10035;2021;interview;vraag_1;inhoud;4.6
10036;2021;interview;vraag_1;inhoud;4.6
10037;2021;interview;vraag_1;inhoud;3.9
10038;2021;interview;vraag_1;inhoud;2.8
10039;2021;interview;vraag_1;inhoud;3.0
10040;2021;interview;vraag_1;inhoud;7.0
10041;2021;interview;vraag_1;inhoud;6.3
10042;2021;interview;vraag_1;inhoud;5.0
10043;2021;interview;vraag_1;inhoud;2.8
10044;2021;interview;vraag_1;inhoud;4.0
10045;2021;interview;vraag_1;inhoud;5.3
10046;2021;interview;vraag_1;inhoud;4.1
10047;2021;interview;vraag_1;inhoud;7.4
10048;2021;interview;vraag_1;inhoud;3.2
10049;2021;interview;vraag_1;inhoud;4.1
10050;2021;interview;vraag_1;inhoud;3.1
10051;2021;interview;vraag_1;inhoud;6.6
10052;2021;interview;vraag_1;inhoud;7.5
10053;2021;interview;vraag_1;inhoud;4.7
10054;2021;interview;vraag_1;inhoud;5.1
10055;2021;interview;vraag_1;inhoud;3.1
10056;2021;interview;vraag_1;inhoud;6.5
10057;2021;interview;vraag_1;inhoud;4.8
10058;2021;interview;vraag_1;inhoud;6.2
10059;2021;interview;vraag_1;inhoud;4.9
10060;2021;interview;vraag_1;inhoud;2.4
10061;2021;interview;vraag_1;inhoud;6.4
10062;2021;interview;vraag_1;inhoud;5.2
10063;2021;interview;vraag_1;inhoud;2.3
10064;2021;interview;vraag_1;inhoud;6.6
10065;2021;interview;vraag_1;inhoud;3.3
10066;2021;interview;vraag_1;inhoud;4.1
10067;2021;interview;vraag_1;inhoud;5.1
10068;2021;interview;vraag_1;inhoud;6.6
10069;2021;interview;vraag_1;inhoud;6.2
10070;2021;interview;vraag_1;inhoud;4.0
10071;2021;interview;vraag_1;inhoud;5.4
10072;2021;interview;vraag_1;inhoud;6.1
10073;2021;interview;vraag_1;inhoud;5.9
10074;2021;interview;vraag_1;inhoud;4.4
10075;2021;interview;vraag_1;inhoud;3.2
10076;2021;interview;vraag_1;inhoud;2.3
10077;2021;interview;vraag_1;inhoud;4.5
10078;2021;interview;vraag_1;inhoud;5.8
10079;2021;interview;vraag_1;inhoud;4.6
10080;2021;interview;vraag_1;inhoud;4.4
10081;2021;interview;vraag_1;inhoud;9.5
10082;2021;interview;vraag_1;inhoud;5.5
10083;2021;interview;vraag_1;inhoud;3.9
10084;2021;interview;vraag_1;inhoud;6.0
10085;2021;interview;vraag_1;inhoud;2.9
10086;2021;interview;vraag_1;inhoud;3.6
10087;2021;interview;vraag_1;inhoud;3.4
10088;2021;interview;vraag_1;inhoud;5.1
10089;2021;interview;vraag_1;inhoud;4.9
10090;2021;interview;vraag_1;inhoud;4.6
10091;2021;interview;vraag_1;inhoud;4.7
10092;2021;interview;vraag_1;inhoud;4.8
10093;2021;interview;vraag_1;inhoud;6.7
10094;2021;interview;vraag_1;inhoud;6.4
10095;2021;interview;vraag_1;inhoud;2.8
10096;2021;interview;vraag_1;inhoud;4.4
10097;2021;interview;vraag_1;inhoud;4.2
10098;2021;interview;vraag_1;inhoud;6.4
10099;2021;interview;vraag_1;inhoud;7.4
10100;2021;interview;vraag_1;inhoud;2.6
10101;2021;interview;vraag_1;inhoud;5.6
10102;2021;interview;vraag_1;inhoud;6.5
10103;2021;interview;vraag_1;inhoud;4.4
10104;2021;interview;vraag_1;inhoud;3.6
10105;2021;interview;vraag_1;inhoud;7.9
10106;2021;interview;vraag_1;inhoud;4.6
10107;2021;interview;vraag_1;inhoud;3.6
10108;2021;interview;vraag_1;inhoud;4.0
10109;2021;interview;vraag_1;inhoud;3.9
10110;2021;interview;vraag_1;inhoud;3.6
10111;2021;interview;vraag_1;inhoud;5.0
10112;2021;interview;vraag_1;inhoud;5.1
10113;2021;interview;vraag_1;inhoud;5.5
10114;2021;interview;vraag_1;inhoud;5.6
10115;2021;interview;vraag_1;inhoud;4.1
10116;2021;interview;vraag_1;inhoud;6.4
10117;2021;interview;vraag_1;inhoud;4.7
10118;2021;interview;vraag_1;inhoud;2.1
